Date,Close,High,Low,Open,Volume,Day,Ticker
2015-01-02,205.43,206.88,204.18,206.4,272246,1.0,SPY
2015-01-05,201.72,204.37,201.35,204.2,372818,2.0,SPY
2015-01-06,199.82,202.71,198.86,202.13,481185,3.0,SPY
2015-01-07,202.31,202.72,200.88,201.46,311503,4.0,SPY
2015-01-08,205.9,206.15,203.99,204.0,332193,5.0,SPY
2015-01-09,204.25,206.42,203.52,206.39,390762,6.0,SPY
2015-01-12,202.65,204.59,201.93,204.42,345018,7.0,SPY
2015-01-13,202.08,205.48,200.52,204.15,555227,8.0,SPY
2015-01-14,200.86,201.1,198.57,199.67,494732,9.0,SPY
2015-01-15,199.02,202.0,198.89,201.64,381821,10.0,SPY
2015-01-16,201.63,201.82,198.55,198.75,451294,11.0,SPY
2015-01-20,202.055,202.71,200.17,202.43,289052,12.0,SPY
2015-01-21,203.08,203.66,200.94,201.51,341462,13.0,SPY
2015-01-22,206.1,206.26,202.33,204.02,393054,14.0,SPY
2015-01-23,204.97,206.09,204.81,205.8,240676,15.0,SPY
2015-01-26,205.45,205.56,203.85,204.73,212063,16.0,SPY
2015-01-27,202.74,204.11,201.75,203.0,283151,17.0,SPY
2015-01-28,200.14,204.29,199.91,204.16,310993,18.0,SPY
2015-01-29,201.99,202.3,198.68,200.34,355710,19.0,SPY
2015-01-30,199.45,202.17,199.13,200.56,437838,20.0,SPY
2015-02-02,201.92,202.02,197.86,200.07,342253,21.0,SPY
2015-02-03,204.84,204.85,202.55,202.94,307733,22.0,SPY
2015-02-04,204.06,205.38,203.51,203.91,333916,23.0,SPY
2015-02-05,206.12,206.3,204.78,204.83,228721,24.0,SPY
2015-02-06,205.55,207.24,204.92,206.57,248216,25.0,SPY
2015-02-09,204.63,205.64,204.14,204.77,165536,26.0,SPY
2015-02-10,206.81,207.11,204.82,205.89,183615,27.0,SPY
2015-02-11,206.93,207.45,205.83,206.6,189504,28.0,SPY
2015-02-12,208.92,208.99,207.68,207.91,222198,29.0,SPY
2015-02-13,209.78,209.84,208.76,209.08,201766,30.0,SPY
2015-02-17,210.11,210.32,209.11,209.38,169029,31.0,SPY
2015-02-18,210.13,210.22,209.35,209.63,166270,32.0,SPY
2015-02-19,209.98,210.42,209.25,209.43,220852,33.0,SPY
2015-02-20,211.24,211.32,208.73,209.43,314692,34.0,SPY
2015-02-23,211.21,211.21,210.48,210.97,147270,35.0,SPY
2015-02-24,211.81,212.05,210.76,211.11,172405,36.0,SPY
2015-02-25,211.63,212.24,211.22,211.64,205013,37.0,SPY
2015-02-26,211.38,211.71,210.66,211.55,153448,38.0,SPY
2015-02-27,210.66,211.58,210.65,211.25,212271,39.0,SPY
2015-03-02,211.99,212.06,210.72,210.79,233678,40.0,SPY
2015-03-03,211.12,211.59,210.08,211.46,286676,41.0,SPY
2015-03-04,210.23,210.49,209.06,210.42,235099,42.0,SPY
2015-03-05,210.46,210.8,209.85,210.59,199387,43.0,SPY
2015-03-06,207.5,209.94,207.1,209.38,319943,44.0,SPY
2015-03-09,208.36,208.79,207.59,207.76,214108,45.0,SPY
2015-03-10,204.98,206.81,204.97,206.7,293055,46.0,SPY
2015-03-11,204.5,205.5,204.4,205.29,244344,47.0,SPY
2015-03-12,207.1,207.17,205.21,205.24,232689,48.0,SPY
2015-03-13,205.825,206.93,204.58,206.76,315801,49.0,SPY
2015-03-16,208.58,208.69,206.68,206.68,281840,50.0,SPY
2015-03-17,207.96,208.41,206.98,207.65,218537,51.0,SPY
2015-03-18,210.46,211.26,206.62,207.35,411965,52.0,SPY
2015-03-19,209.5,210.29,209.04,210.04,243981,53.0,SPY
2015-03-20,210.41,211.02,209.61,209.66,299665,54.0,SPY
2015-03-23,210.0,211.1,210.01,210.43,125656,55.0,SPY
2015-03-24,208.82,210.4,208.74,209.87,144536,56.0,SPY
2015-03-25,205.76,209.35,205.71,209.01,316455,57.0,SPY
2015-03-26,205.27,206.36,204.12,204.96,296606,58.0,SPY
2015-03-27,205.74,205.95,204.91,205.16,241586,59.0,SPY
2015-03-30,208.25,208.61,206.96,206.96,190752,60.0,SPY
2015-03-31,206.43,208.1,206.37,207.26,231229,61.0,SPY
2015-04-01,205.7,206.42,204.51,206.42,298704,62.0,SPY
2015-04-02,206.435,206.98,205.4,205.58,196529,63.0,SPY
2015-04-06,207.83,208.45,205.21,205.39,211481,64.0,SPY
2015-04-07,207.28,208.76,207.25,207.86,149143,65.0,SPY
2015-04-08,207.975,208.5,207.08,207.53,191585,66.0,SPY
2015-04-09,208.9,209.18,207.19,207.82,160555,67.0,SPY
2015-04-10,210.04,210.08,208.96,209.21,120823,68.0,SPY
2015-04-13,209.09,210.63,209.04,209.84,117640,69.0,SPY
2015-04-14,209.49,209.71,208.1,208.86,134660,70.0,SPY
2015-04-15,210.43,211.04,209.95,210.07,175477,71.0,SPY
2015-04-16,210.37,210.97,209.79,210.04,132746,72.0,SPY
2015-04-17,207.95,209.23,207.01,208.95,299653,73.0,SPY
2015-04-20,209.85,210.25,208.96,209.09,144346,74.0,SPY
2015-04-21,209.6,210.86,209.25,210.65,127037,75.0,SPY
2015-04-22,210.63,210.85,208.9,210.04,157274,76.0,SPY
2015-04-23,211.16,211.94,210.02,210.17,170008,77.0,SPY
2015-04-24,211.65,211.97,211.12,211.7,117194,78.0,SPY
2015-04-27,210.77,212.47,210.54,212.34,147711,79.0,SPY
2015-04-28,211.44,211.5,209.34,210.71,167578,80.0,SPY
2015-04-29,210.57,211.29,209.61,210.32,236825,81.0,SPY
2015-04-30,208.46,210.35,207.62,209.9,262531,82.0,SPY
2015-05-01,210.72,210.77,209.29,209.41,204875,83.0,SPY
2015-05-04,211.32,212.02,211.1,211.22,150519,84.0,SPY
2015-05-05,208.9,211.45,208.73,211.01,206870,85.0,SPY
2015-05-06,208.04,209.92,206.76,209.54,231530,86.0,SPY
2015-05-07,208.87,209.38,207.54,207.91,158605,87.0,SPY
2015-05-08,211.62,211.86,210.79,210.84,231060,88.0,SPY
2015-05-11,210.605,211.89,210.53,211.54,148702,89.0,SPY
2015-05-12,209.98,210.63,208.63,209.59,227279,90.0,SPY
2015-05-13,210.02,211.21,209.74,210.49,166555,91.0,SPY
2015-05-14,212.21,212.32,210.91,211.24,181894,92.0,SPY
2015-05-15,212.44,212.61,211.86,212.43,132182,93.0,SPY
2015-05-18,213.1,213.4,212.16,212.24,140573,94.0,SPY
2015-05-19,213.03,213.57,212.69,213.26,150534,95.0,SPY
2015-05-20,212.88,213.77,212.51,213.16,149199,96.0,SPY
2015-05-21,213.5,213.74,212.52,212.74,150088,97.0,SPY
2015-05-22,212.99,213.54,212.91,213.02,122849,98.0,SPY
2015-05-26,210.7,212.49,210.21,212.39,204123,99.0,SPY
2015-05-27,212.7,212.98,210.86,211.23,219850,100.0,SPY
2015-05-28,212.46,212.59,211.63,212.34,143631,101.0,SPY
2015-05-29,211.14,212.43,210.82,212.4,214399,102.0,SPY
2015-06-01,211.57,212.33,210.62,211.95,190947,103.0,SPY
2015-06-02,211.36,212.18,210.27,211.02,194049,104.0,SPY
2015-06-03,211.92,212.67,211.34,211.97,186346,105.0,SPY
2015-06-04,210.13,211.77,209.75,211.12,271415,106.0,SPY
2015-06-05,209.77,210.58,208.98,209.93,205858,107.0,SPY
2015-06-08,208.48,209.82,208.39,209.63,173895,108.0,SPY
2015-06-09,208.45,209.1,207.69,208.44,216412,109.0,SPY
2015-06-10,210.95,211.4,209.32,209.38,283192,110.0,SPY
2015-06-11,211.63,212.09,211.21,211.49,142577,111.0,SPY
2015-06-12,210.01,210.83,209.68,210.62,183952,112.0,SPY
2015-06-15,209.11,209.44,207.79,208.62,219888,113.0,SPY
2015-06-16,210.25,210.34,208.72,208.9,142221,114.0,SPY
2015-06-17,210.59,211.32,209.38,210.58,241784,115.0,SPY
2015-06-18,212.78,213.33,211.18,211.23,281887,116.0,SPY
2015-06-19,210.5,211.54,210.44,211.42,184721,117.0,SPY
2015-06-22,211.89,212.59,211.65,211.95,139787,118.0,SPY
2015-06-23,212.04,212.44,211.57,212.18,117910,119.0,SPY
2015-06-24,210.5,212.16,210.48,211.71,140132,120.0,SPY
2015-06-25,209.86,211.25,209.77,211.13,153344,121.0,SPY
2015-06-26,209.82,210.57,209.16,210.28,184892,122.0,SPY
2015-06-29,205.42,208.82,205.33,208.02,369627,123.0,SPY
2015-06-30,205.85,207.32,205.28,207.32,301092,124.0,SPY
2015-07-01,207.5,208.03,206.58,207.79,238584,125.0,SPY
2015-07-02,207.31,208.27,206.82,208.07,177194,126.0,SPY
2015-07-06,206.72,207.65,205.54,205.74,215478,127.0,SPY
2015-07-07,208.02,208.16,204.12,206.93,372945,128.0,SPY
2015-07-08,204.53,206.76,204.25,206.34,320000,129.0,SPY
2015-07-09,204.9,207.35,204.88,207.03,266217,130.0,SPY
2015-07-10,207.48,207.97,206.49,207.28,260515,131.0,SPY
2015-07-13,209.77,209.9,208.94,209.0,203741,132.0,SPY
2015-07-14,210.68,211.05,209.66,209.69,178406,133.0,SPY
2015-07-15,210.61,211.27,210.05,210.71,196881,134.0,SPY
2015-07-16,212.3,212.3,211.59,211.82,216208,135.0,SPY
2015-07-17,212.48,212.55,211.8,212.34,161682,136.0,SPY
2015-07-20,212.59,213.18,212.21,212.77,162144,137.0,SPY
2015-07-21,211.75,212.74,211.39,212.45,153756,138.0,SPY
2015-07-22,211.37,211.77,210.89,210.91,207634,139.0,SPY
2015-07-23,210.18,211.64,209.76,211.54,194445,140.0,SPY
2015-07-24,208.0,210.37,207.6,210.25,235116,141.0,SPY
2015-07-27,206.79,207.55,206.26,206.98,282586,142.0,SPY
2015-07-28,209.33,209.5,206.8,207.8,294740,143.0,SPY
2015-07-29,210.77,211.04,209.31,209.44,262519,144.0,SPY
2015-07-30,210.82,211.01,209.42,210.2,206401,145.0,SPY
2015-07-31,210.5,211.45,210.16,211.44,215748,146.0,SPY
2015-08-03,209.79,210.53,208.66,210.53,255135,147.0,SPY
2015-08-04,209.38,210.24,208.8,209.7,214805,148.0,SPY
2015-08-05,210.07,211.31,209.74,210.4,191677,149.0,SPY
2015-08-06,208.35,210.41,207.65,210.27,250775,150.0,SPY
2015-08-07,207.95,208.34,206.87,208.16,262941,151.0,SPY
2015-08-10,210.57,210.67,209.28,209.29,228544,152.0,SPY
2015-08-11,208.67,209.46,207.76,208.96,239391,153.0,SPY
2015-08-12,208.92,209.13,205.37,207.14,393234,154.0,SPY
2015-08-13,208.66,209.55,208.02,208.75,222169,155.0,SPY
2015-08-14,209.42,209.5,208.26,208.43,205519,156.0,SPY
